FIPS,Province_State,Combined_Key,Lat,Long_,Population,METRO,pop500,CASTHMA,HIGHCHOL,DIABETES,OBESITY,CANCER,STROKE,MHLTH,CSMOKING,CHOLSCREEN,ACCESS2,CHD,CHECKUP,KIDNEY,BINGE,LPA,ARTHRITIS,BPMED,PHLTH,BPHIGH,COPD,nhosp,nhosp999,totalbeds,estbeds,persons_per_household,age65_%pop,black_%pop,hisp_%pop,welfare_receipts,poverty_%pop,pop_density_2010,hsgrad_%pop,median_income,percap_income,gini_index,svi_ses,svi_households,svi_minority,svi_housing_transport,svi_overall,estbeds_per1000
12031,Florida,"Duval, Florida, US",30.33225875,-81.66976468,957755.0,Jacksonville,821784,9.3,31.6,10.3,32.0,5.9,3.2,14.7,22.0,80.2,20.7,6.0,72.3,2.9,17.8,30.5,23.2,73.7,13.8,32.0,8.0,11.0,0.0,3495.0,3495.0,2.55,14.0,30.6,10.1,7324862,14.5,762.19,89.5,53473.0,30012.0,0.4882,0.4704,0.3426,0.8937,0.8281,0.6920000000000001,3
39035,Ohio,"Cuyahoga, Ohio, US",41.424119,-81.65918339,1235072.0,"Cleveland, Parma",478416,10.4,32.2,11.9,30.0,5.3,4.0,12.6,23.8,75.7,13.5,8.2,69.6,2.7,12.5,26.8,24.4,76.0,11.1,35.6,9.2,19.0,1.0,7935.0,8118.0,2.27,18.2,30.5,58.8,14792808,17.9,457.19,89.3,48435.0,31804.0,0.5204,0.5541,0.5024,0.8354,0.6332,0.6809,6
39061,Ohio,"Hamilton, Ohio, US",39.19673558,-84.54502924,817473.0,Cincinnati,296943,10.9,18.1,30.0,49.2,2.2,1.6,16.3,33.5,84.1,12.7,3.0,81.1,1.8,12.2,33.1,34.6,83.3,7.4,50.4,3.8,12.0,1.0,4127.0,4310.0,2.33,15.3,26.6,3.5,10054399,15.4,405.91,91.0,54976.0,34125.0,0.5066,0.3755,0.3613,0.7319,0.6988,0.5369,5
12095,Florida,"Orange, Florida, US",28.51367621,-81.31799498,1393452.0,Orlando,238283,8.4,20.7,5.6,22.8,3.2,1.6,14.4,18.0,73.9,25.1,5.1,65.3,1.9,17.7,29.5,27.2,78.2,23.3,45.0,7.7,12.0,2.0,3794.0,4312.0,2.81,11.9,22.7,32.3,8920887,15.6,903.43,88.5,54335.0,28859.0,0.4865,0.4924,0.177,0.9637,0.787,0.6691,3
48029,Texas,"Bexar, Texas, US",29.44928723,-98.52019748,2003554.0,San Antonio,1327381,9.7,26.8,13.7,39.8,9.3,4.7,17.4,12.7,81.3,46.7,2.9,66.5,5.1,24.0,23.2,22.9,73.7,15.8,23.7,7.7,28.0,2.0,5742.0,6061.0,3.0,12.1,8.5,60.5,12143604,17.2,1239.82,83.8,55456.0,26988.0,0.4792,0.6048,0.6205,0.9733,0.7809999999999999,0.8258,3
13121,Georgia,"Fulton, Georgia, US",33.79216944,-84.46319413,1063937.0,"Atlanta, Johns Creek, Roswell, Sandy Springs",650638,7.3,22.4,6.6,19.9,4.1,1.9,8.1,9.7,82.3,13.3,3.6,68.7,2.2,13.5,20.7,14.4,81.0,8.1,45.0,4.0,13.0,1.0,4335.0,4534.0,2.47,11.7,44.5,39.7,9875785,13.5,526.64,92.1,64787.0,43707.0,0.5359,0.3245,0.1124,0.8968,0.8259,0.5268,4
16001,Idaho,"Ada, Idaho, US",43.4526575,-116.24155159999998,481587.0,"Boise City, Meridian",280763,9.2,28.9,7.2,27.8,6.3,2.4,11.6,14.0,76.1,13.4,4.7,59.1,2.5,17.1,20.6,20.7,66.3,10.3,26.8,4.6,8.0,1.0,1338.0,1475.0,2.59,14.4,1.3,8.3,3174257,9.7,1052.58,95.1,63137.0,33352.0,0.4534,0.0939,0.0981,0.5874,0.2429,0.1373,3
47037,Tennessee,"Davidson, Tennessee, US",36.17007426,-86.78646056,694144.0,Nashville,601222,10.2,31.9,10.0,31.2,5.4,2.9,14.2,20.5,79.7,17.2,5.4,71.4,2.8,15.4,28.2,23.1,73.5,12.4,33.2,6.9,10.0,0.0,4107.0,4107.0,2.38,12.2,27.7,10.4,8547681,15.4,504.03,88.6,56507.0,34343.0,0.4865,0.3535,0.0863,0.9233,0.8125,0.5363,5
48113,Texas,"Dallas, Texas, US",32.76670599,-96.77796049999999,2635516.0,"Dallas, Garland, Grand Prairie, Mesquite, Irving, Lewisville, Richardson, Carrollton",1951259,8.3,37.0,13.6,39.2,8.8,1.1,10.0,7.2,84.4,43.1,9.5,75.6,3.3,19.6,18.5,26.5,77.8,15.8,51.2,11.2,28.0,1.0,7039.0,7198.0,2.79,10.7,23.5,40.5,19683164,14.2,871.28,78.7,56854.0,31219.0,0.4931,0.5599,0.3852,0.9882,0.7081,0.7538,2
48439,Texas,"Tarrant, Texas, US",32.77143818,-97.29101614,2102515.0,"Fort Worth, Grand Prairie, Arlington",1150688,7.9,25.8,9.1,27.0,8.4,7.9,10.7,14.0,87.1,20.6,7.1,62.4,2.1,14.1,19.7,17.4,59.4,8.9,30.6,6.4,25.0,0.0,4883.0,4883.0,2.86,11.3,17.5,29.2,11276184,12.1,863.61,85.6,64874.0,32092.0,0.4651,0.3793,0.4005,0.9487,0.4464,0.5475,2
48121,Texas,"Denton, Texas, US",33.20521901,-97.11691153,887207.0,"Frisco, Dallas, Denton, Fort Worth, Lewisville, Plano, Carrollton",361783,7.3,27.0,8.0,27.4,4.6,1.4,12.3,9.6,62.1,11.0,2.0,63.6,2.2,21.4,22.1,25.0,49.6,7.7,35.1,3.0,8.0,0.0,1057.0,1057.0,2.81,10.2,10.6,19.5,2473817,7.3,878.43,92.5,83376.0,39535.0,0.4321,0.0729,0.1184,0.8876,0.3114,0.221,1
48157,Texas,"Fort Bend, Texas, US",29.52704478,-95.77219463,811688.0,"Sugar Land, Houston, Missouri City, Pearland",179417,7.7,34.9,10.5,27.1,5.2,2.5,9.7,12.2,84.3,14.6,4.4,71.8,2.6,15.2,25.5,20.4,74.5,9.7,32.1,5.0,8.0,0.0,810.0,810.0,3.18,11.1,21.1,24.7,1809704,7.9,861.48,90.2,95561.0,39472.0,0.4386,0.1787,0.1592,0.9653,0.2248,0.2873,0
55079,Wisconsin,"Milwaukee, Wisconsin, US",43.00486062,-87.96733172,945726.0,Milwaukee,594833,9.1,24.8,8.4,22.3,4.6,7.0,14.5,31.7,63.1,12.3,5.1,80.7,3.9,20.2,18.3,16.9,80.3,9.0,27.9,2.9,16.0,1.0,4311.0,4456.0,2.44,13.6,27.2,51.0,9866368,19.1,241.40,87.8,48742.0,28121.0,0.4774,0.5949,0.5209,0.9131,0.8529,0.8061,4
53053,Washington,"Pierce, Washington, US",47.03892768,-122.14059579999999,904980.0,"Tacoma, Auburn",205816,11.4,31.0,10.5,31.1,5.8,3.1,15.3,19.5,75.4,12.2,5.2,64.7,3.0,16.8,23.3,25.2,66.9,13.8,31.6,6.1,8.0,0.0,1630.0,1630.0,2.65,13.8,7.6,11.1,5369260,8.7,1669.51,91.3,67868.0,32874.0,0.4225,0.2634,0.2894,0.8223,0.7046,0.4873,1
48201,Texas,"Harris, Texas, US",29.85864939,-95.39339521,4713325.0,"Houston, Pasadena, Missouri City, League City, Pearland, Baytown",2284999,10.6,37.9,20.4,23.4,2.7,5.7,8.4,16.0,66.0,10.9,6.4,71.1,1.5,27.6,19.3,11.7,81.0,20.6,32.4,3.2,50.0,3.0,12460.0,12939.0,2.88,10.5,19.9,43.3,29549435,16.5,1703.48,80.9,60146.0,31901.0,0.4958,0.5720000000000001,0.3801,0.9876,0.6014,0.7236,2
53077,Washington,"Yakima, Washington, US",46.45738486,-120.73801259999999,250873.0,Yakima,91067,11.5,30.6,11.8,35.2,6.0,3.6,15.0,15.5,74.8,13.4,6.6,61.0,3.7,14.4,30.3,24.1,69.0,17.0,31.7,7.7,4.0,0.0,528.0,528.0,2.98,13.7,1.5,49.9,1431362,16.5,4295.40,73.1,49871.0,22459.0,0.4258,0.8439,0.7342,0.9704,0.7915,0.9277,2
48453,Texas,"Travis, Texas, US",30.33432034,-97.78535620000001,1273954.0,"McAllen, Round Rock, Austin",1015807,7.4,25.7,5.7,20.5,5.0,1.6,10.6,12.0,80.4,17.9,3.4,61.0,1.8,24.9,18.3,14.5,65.6,7.8,21.4,5.2,13.0,1.0,2455.0,2614.0,2.57,9.9,8.9,33.9,6996844,12.0,990.20,89.1,71767.0,41049.0,0.4895,0.2277,0.0353,0.9484,0.7386,0.3812,2
49035,Utah,"Salt Lake, Utah, US",40.66616532,-111.92160109999999,1160437.0,"Salt Lake City, Sandy, West Valley City, West Jordan",507093,9.8,21.7,6.5,22.5,7.4,1.6,14.7,4.8,61.4,32.4,3.0,61.9,2.2,12.6,17.9,12.7,65.1,11.4,17.8,6.1,15.0,4.0,2272.0,2801.0,3.0,10.9,2.2,18.6,7609177,9.0,742.28,90.4,71230.0,31648.0,0.4399,0.1669,0.1595,0.8309,0.4846,0.3229,2
