FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
17031,1.0,2.0,-4.0,0.0,-2.0,0.0,0.0,7.0,9.0,5.0,-2.0,-2.0,3.0,3.0,8.0,13.0,6.0,8.0,8.0,8.0,3.0,11.0,14.0,1.0,9.0,10.0,30.0,43.0,29.0,21.0,25.0,13.0,3.0,15.0,20.0,0.0,-35.0,-25.0,-19.0,-16.0,-18.0,-17.0,-19.0,-26.0,-20.0,-20.0,-11.0,-11.0,-10.0,-15.0,-20.0,-19.0,-15.0,-19.0,-13.0,-9.0,-9.0
17115,-2.0,2.0,-7.0,-4.0,-2.0,2.0,4.0,9.0,9.0,4.0,7.0,3.0,15.0,6.0,12.0,20.0,13.0,18.0,16.0,18.0,7.0,14.0,13.0,6.0,16.0,15.0,34.0,41.0,22.0,29.0,37.0,24.0,13.0,20.0,42.0,10.0,-30.0,-6.0,-7.0,2.0,-1.0,-1.0,-14.0,-14.0,-5.0,-4.0,9.0,7.0,12.0,3.0,-2.0,2.0,8.0,0.0,8.0,10.0,10.0
17197,1.0,0.0,-5.0,-2.0,-4.0,-2.0,0.0,9.0,9.0,7.0,-4.0,-4.0,4.0,0.0,11.0,12.0,6.0,9.0,10.0,10.0,7.0,17.0,18.0,2.0,12.0,15.0,36.0,46.0,33.0,23.0,36.0,20.0,9.0,18.0,26.0,1.0,-37.0,-21.0,-15.0,-13.0,-14.0,-15.0,-18.0,-27.0,-13.0,-13.0,-10.0,-8.0,-8.0,-13.0,-15.0,-13.0,-7.0,-10.0,-5.0,-1.0,1.0
17143,5.0,4.0,0.0,-2.0,0.0,-3.0,-6.0,12.0,11.0,0.0,-3.0,-2.0,5.0,-1.0,14.0,17.0,9.0,12.0,12.0,8.0,-3.0,17.0,15.0,5.0,8.0,11.0,35.0,38.0,35.0,33.0,35.0,22.0,9.0,20.0,34.0,16.0,-30.0,-14.0,-12.0,-10.0,-10.0,-14.0,-15.0,-19.0,-5.0,-12.0,5.0,1.0,-3.0,5.0,-6.0,-2.0,2.0,-3.0,1.0,4.0,17.0
17089,6.0,3.0,-1.0,0.0,-2.0,0.0,3.0,13.0,12.0,10.0,1.0,2.0,2.0,5.0,14.0,13.0,6.0,9.0,6.0,6.0,5.0,16.0,15.0,1.0,10.0,15.0,39.0,54.0,40.0,25.0,32.0,22.0,12.0,20.0,34.0,4.0,-39.0,-25.0,-18.0,-15.0,-15.0,-15.0,-17.0,-27.0,-16.0,-16.0,-11.0,-9.0,-9.0,-10.0,-19.0,-17.0,-13.0,-15.0,-8.0,-1.0,-3.0
17043,5.0,4.0,-2.0,0.0,0.0,0.0,5.0,12.0,12.0,13.0,3.0,3.0,6.0,7.0,12.0,15.0,11.0,11.0,11.0,11.0,10.0,15.0,17.0,5.0,15.0,19.0,41.0,53.0,35.0,24.0,33.0,20.0,10.0,17.0,28.0,-2.0,-38.0,-24.0,-17.0,-14.0,-17.0,-16.0,-20.0,-29.0,-18.0,-17.0,-14.0,-13.0,-14.0,-18.0,-23.0,-19.0,-15.0,-18.0,-11.0,-7.0,-9.0
17201,10.0,-1.0,-10.0,-5.0,-6.0,-1.0,-6.0,14.0,6.0,6.0,-10.0,-1.0,1.0,-4.0,17.0,12.0,3.0,4.0,7.0,2.0,-4.0,19.0,11.0,-4.0,6.0,5.0,26.0,34.0,39.0,25.0,31.0,18.0,10.0,20.0,30.0,8.0,-36.0,-22.0,-18.0,-12.0,-15.0,-18.0,-13.0,-30.0,-14.0,-18.0,-1.0,-6.0,-8.0,0.0,-19.0,-14.0,-12.0,-10.0,-1.0,0.0,14.0
17093,7.0,-3.0,3.0,-1.0,4.0,-2.0,-2.0,11.0,9.0,8.0,-6.0,1.0,5.0,0.0,13.0,12.0,10.0,13.0,16.0,12.0,7.0,23.0,15.0,4.0,19.0,33.0,77.0,83.0,49.0,23.0,44.0,33.0,21.0,33.0,44.0,4.0,-42.0,-24.0,-14.0,-13.0,-13.0,-10.0,-20.0,-28.0,-11.0,-11.0,-6.0,0.0,-14.0,-22.0,-30.0,-20.0,-9.0,-12.0,-3.0,-3.0,-7.0
01073,1.0,-3.0,1.0,-8.0,1.0,-5.0,-1.0,2.0,-2.0,-4.0,3.0,4.0,7.0,5.0,9.0,8.0,5.0,17.0,-2.0,7.0,5.0,8.0,5.0,11.0,9.0,4.0,26.0,36.0,28.0,14.0,29.0,20.0,11.0,17.0,10.0,2.0,-11.0,-10.0,-1.0,-7.0,-6.0,-7.0,-7.0,-16.0,-9.0,-10.0,5.0,2.0,11.0,14.0,-17.0,-9.0,-12.0,-9.0,-4.0,-3.0,3.0
26161,-14.0,-12.0,-16.0,-15.0,-14.0,-16.0,-17.0,-10.0,-10.0,-14.0,-11.0,-30.0,-19.0,-15.0,-12.0,-12.0,-13.0,-11.0,-12.0,-13.0,-19.0,-9.0,-9.0,-11.0,-10.0,4.0,14.0,12.0,-7.0,-16.0,-1.0,-12.0,-19.0,-18.0,-15.0,-24.0,-38.0,-13.0,-45.0,-40.0,-41.0,-41.0,-46.0,-48.0,-43.0,-42.0,-40.0,-39.0,-39.0,-45.0,-48.0,-44.0,-46.0,-41.0,-42.0,-41.0,-38.0
