FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
33011,0.0,7.0,21.0,-9.0,6.0,5.0,0.0,0.0,2.0,4.0,3.0,8.0,5.0,1.0,1.0,6.0,6.0,9.0,4.0,7.0,1.0,4.0,8.0,10.0,9.0,7.0,8.0,-3.0,-11.0,-12.0,-5.0,-25.0,-27.0,-37.0,-37.0,-47.0,-47.0,-42.0,-45.0,-44.0,-38.0,-40.0,-56.0,-62.0,-47.0,-42.0,-44.0,-47.0,-51.0,-54.0,-53.0,-41.0,-42.0,-46.0,-51.0,-47.0,-48.0
34017,2.0,4.0,12.0,1.0,3.0,2.0,-1.0,7.0,8.0,1.0,-1.0,5.0,3.0,2.0,7.0,11.0,8.0,5.0,7.0,9.0,-3.0,11.0,13.0,11.0,6.0,9.0,7.0,0.0,-6.0,-16.0,-18.0,-29.0,-30.0,-35.0,-35.0,-42.0,-57.0,-58.0,-45.0,-52.0,-48.0,-50.0,-59.0,-62.0,-51.0,-52.0,-49.0,-53.0,-65.0,-66.0,-70.0,-61.0,-58.0,-60.0,-62.0,-65.0,-64.0
32031,3.0,13.0,11.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,7.0,8.0,5.0,8.0,-1.0,6.0,7.0,5.0,7.0,2.0,-2.0,3.0,4.0,4.0,4.0,6.0,2.0,-14.0,-17.0,-5.0,-20.0,-31.0,-33.0,-35.0,-46.0,-43.0,-36.0,-36.0,-38.0,-38.0,-38.0,-47.0,-44.0,-35.0,-33.0,-34.0,-35.0,-37.0,-49.0,-49.0,-40.0,-38.0,-37.0,-37.0,-37.0,-43.0
36001,8.0,7.0,11.0,-7.0,4.0,2.0,1.0,9.0,9.0,7.0,4.0,6.0,2.0,6.0,11.0,10.0,11.0,8.0,7.0,5.0,6.0,12.0,9.0,10.0,0.0,3.0,2.0,-7.0,-15.0,-19.0,-11.0,-33.0,-36.0,-40.0,-43.0,-49.0,-54.0,-60.0,-57.0,-54.0,-51.0,-52.0,-59.0,-59.0,-51.0,-52.0,-49.0,-52.0,-54.0,-55.0,-56.0,-49.0,-60.0,-63.0,-66.0,-64.0,-62.0
32003,2.0,5.0,4.0,2.0,1.0,4.0,2.0,-1.0,5.0,3.0,5.0,9.0,8.0,6.0,7.0,8.0,6.0,8.0,6.0,6.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0,0.0,-4.0,-5.0,-5.0,-10.0,-27.0,-37.0,-39.0,-47.0,-48.0,-43.0,-41.0,-42.0,-43.0,-44.0,-48.0,-48.0,-41.0,-39.0,-38.0,-42.0,-42.0,-48.0,-49.0,-44.0,-44.0,-44.0,-45.0,-46.0,-47.0
34031,3.0,5.0,19.0,2.0,2.0,2.0,2.0,8.0,6.0,3.0,-1.0,4.0,5.0,6.0,9.0,11.0,10.0,7.0,9.0,10.0,0.0,11.0,8.0,10.0,5.0,7.0,6.0,2.0,-6.0,-15.0,-11.0,-29.0,-32.0,-39.0,-40.0,-48.0,-62.0,-58.0,-48.0,-53.0,-49.0,-51.0,-63.0,-66.0,-52.0,-53.0,-51.0,-54.0,-63.0,-66.0,-70.0,-59.0,-60.0,-62.0,-64.0,-67.0,-67.0
34039,6.0,6.0,21.0,1.0,2.0,3.0,2.0,9.0,7.0,3.0,0.0,7.0,5.0,4.0,9.0,10.0,7.0,4.0,9.0,9.0,0.0,12.0,10.0,11.0,7.0,8.0,5.0,0.0,-5.0,-14.0,-11.0,-28.0,-30.0,-34.0,-35.0,-42.0,-59.0,-57.0,-46.0,-51.0,-46.0,-49.0,-60.0,-62.0,-50.0,-51.0,-48.0,-52.0,-61.0,-64.0,-67.0,-57.0,-56.0,-58.0,-60.0,-62.0,-63.0
34013,3.0,3.0,6.0,0.0,1.0,2.0,-2.0,8.0,6.0,2.0,-1.0,2.0,5.0,3.0,8.0,10.0,7.0,5.0,10.0,8.0,0.0,11.0,10.0,11.0,9.0,5.0,3.0,-2.0,-6.0,-13.0,-13.0,-26.0,-29.0,-34.0,-37.0,-43.0,-56.0,-56.0,-46.0,-51.0,-48.0,-50.0,-59.0,-60.0,-51.0,-52.0,-49.0,-54.0,-63.0,-65.0,-68.0,-58.0,-61.0,-62.0,-64.0,-67.0,-65.0
35013,7.0,12.0,5.0,5.0,3.0,4.0,1.0,7.0,8.0,4.0,6.0,12.0,14.0,12.0,14.0,19.0,12.0,7.0,17.0,13.0,8.0,15.0,11.0,10.0,11.0,11.0,12.0,2.0,0.0,0.0,-2.0,-9.0,-17.0,-20.0,-28.0,-34.0,-34.0,-27.0,-36.0,-40.0,-41.0,-46.0,-45.0,-41.0,-37.0,-33.0,-31.0,-34.0,-36.0,-40.0,-39.0,-36.0,-37.0,-38.0,-38.0,-40.0,-42.0
20177,4.0,13.0,4.0,3.0,7.0,3.0,12.0,4.0,16.0,-2.0,6.0,15.0,9.0,20.0,16.0,30.0,7.0,17.0,16.0,12.0,20.0,11.0,20.0,0.0,10.0,16.0,10.0,11.0,-10.0,-4.0,-10.0,-10.0,-11.0,-19.0,-24.0,-38.0,-37.0,-33.0,-28.0,-13.0,-45.0,-40.0,-47.0,-37.0,-39.0,-34.0,-28.0,-36.0,-41.0,-47.0,-39.0,-38.0,-32.0,-30.0,-38.0,-31.0,-39.0
