FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
53053,-3.0,-1.0,-33.0,-3.0,2.0,1.0,3.0,0.0,-1.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-3.0,-4.0,-5.0,-8.0,-5.0,-9.0,-18.0,-26.0,-29.0,-31.0,-32.0,-25.0,-29.0,-35.0,-40.0,-44.0,-50.0,-50.0,-39.0,-39.0,-51.0,-52.0,-52.0,-53.0,-51.0,-39.0,-39.0,-51.0,-52.0,-52.0,-52.0,-53.0,-39.0
55059,2.0,-2.0,-5.0,3.0,2.0,3.0,-1.0,6.0,5.0,4.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,0.0,4.0,4.0,4.0,6.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,-4.0,-14.0,-21.0,-27.0,-31.0,-31.0,-20.0,-29.0,-38.0,-41.0,-43.0,-43.0,-42.0,-30.0,-34.0,-42.0,-44.0,-45.0,-45.0,-44.0,-32.0,-34.0,-44.0,-46.0,-47.0,-46.0,-54.0,-32.0
53063,-1.0,1.0,-28.0,1.0,2.0,0.0,-3.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,-2.0,-3.0,-7.0,-7.0,-11.0,-27.0,-30.0,-33.0,-33.0,-25.0,-29.0,-35.0,-40.0,-43.0,-48.0,-48.0,-37.0,-38.0,-48.0,-50.0,-49.0,-51.0,-49.0,-38.0,-39.0,-48.0,-51.0,-50.0,-51.0,-51.0,-36.0
48201,2.0,0.0,-13.0,2.0,3.0,0.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,-8.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,-8.0,-9.0,-9.0,-11.0,-18.0,-2.0,-7.0,-21.0,-27.0,-30.0,-33.0,-35.0,-23.0,-29.0,-36.0,-39.0,-48.0,-48.0,-48.0,-35.0,-38.0,-47.0,-48.0,-48.0,-49.0,-49.0,-40.0,-40.0,-48.0,-49.0,-50.0,-51.0,-59.0,-40.0
48339,1.0,0.0,-21.0,1.0,-1.0,-3.0,0.0,2.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,0.0,2.0,1.0,-14.0,-13.0,-15.0,-17.0,-19.0,-3.0,-10.0,-23.0,-27.0,-30.0,-34.0,-37.0,-24.0,-33.0,-38.0,-39.0,-44.0,-45.0,-45.0,-33.0,-38.0,-47.0,-47.0,-48.0,-49.0,-49.0,-37.0,-39.0,-48.0,-49.0,-49.0,-50.0,-59.0,-38.0
55009,0.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,6.0,5.0,0.0,3.0,3.0,0.0,7.0,6.0,2.0,1.0,1.0,0.0,-1.0,-1.0,2.0,-11.0,-21.0,-27.0,-31.0,-33.0,-21.0,-26.0,-36.0,-41.0,-45.0,-45.0,-45.0,-30.0,-31.0,-44.0,-47.0,-46.0,-46.0,-46.0,-34.0,-31.0,-46.0,-48.0,-47.0,-47.0,-50.0,-36.0
53011,-4.0,-1.0,-27.0,1.0,2.0,2.0,3.0,1.0,0.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,-1.0,-3.0,-12.0,-11.0,-21.0,-28.0,-31.0,-34.0,-35.0,-26.0,-31.0,-38.0,-44.0,-45.0,-48.0,-48.0,-38.0,-41.0,-50.0,-52.0,-51.0,-52.0,-51.0,-39.0,-41.0,-50.0,-51.0,-51.0,-51.0,-52.0,-38.0
55025,7.0,6.0,-2.0,0.0,1.0,1.0,2.0,8.0,7.0,5.0,2.0,1.0,2.0,0.0,8.0,6.0,5.0,-1.0,2.0,3.0,6.0,12.0,7.0,4.0,2.0,1.0,0.0,-2.0,1.0,-4.0,-25.0,-37.0,-45.0,-48.0,-48.0,-28.0,-35.0,-52.0,-58.0,-61.0,-61.0,-59.0,-41.0,-43.0,-61.0,-63.0,-63.0,-63.0,-61.0,-39.0,-41.0,-61.0,-63.0,-63.0,-63.0,-63.0,-39.0
54039,-1.0,0.0,-14.0,0.0,-4.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,0.0,5.0,3.0,-8.0,-8.0,-8.0,-9.0,-10.0,0.0,-2.0,-10.0,-15.0,-20.0,-23.0,-29.0,-25.0,-30.0,-38.0,-42.0,-47.0,-47.0,-46.0,-33.0,-33.0,-46.0,-48.0,-48.0,-47.0,-47.0,-33.0,-36.0,-48.0,-49.0,-51.0,-50.0,-52.0,-33.0
55087,3.0,0.0,-3.0,-2.0,2.0,3.0,-5.0,7.0,5.0,0.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,-1.0,2.0,2.0,3.0,7.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,0.0,-6.0,-19.0,-27.0,-31.0,-34.0,-21.0,-26.0,-37.0,-40.0,-44.0,-45.0,-45.0,-33.0,-33.0,-45.0,-45.0,-46.0,-46.0,-47.0,-33.0,-34.0,-46.0,-47.0,-48.0,-48.0,-54.0,-35.0
53077,-5.0,-4.0,-37.0,-6.0,0.0,-1.0,1.0,-1.0,-3.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,1.0,1.0,0.0,-2.0,2.0,-2.0,-1.0,0.0,0.0,-2.0,-3.0,-4.0,-9.0,-18.0,-23.0,-26.0,-27.0,-28.0,-11.0,-24.0,-35.0,-38.0,-40.0,-41.0,-40.0,-25.0,-33.0,-41.0,-42.0,-43.0,-44.0,-43.0,-30.0,-34.0,-43.0,-43.0,-44.0,-44.0,-45.0,-30.0
48303,3.0,3.0,-1.0,3.0,2.0,1.0,4.0,4.0,2.0,11.0,4.0,3.0,2.0,5.0,4.0,6.0,10.0,4.0,1.0,2.0,5.0,7.0,2.0,11.0,3.0,2.0,1.0,0.0,0.0,-6.0,-15.0,-23.0,-26.0,-28.0,-30.0,-21.0,-26.0,-25.0,-32.0,-35.0,-35.0,-35.0,-25.0,-28.0,-35.0,-40.0,-41.0,-41.0,-40.0,-30.0,-33.0,-34.0,-40.0,-41.0,-41.0,-47.0,-33.0
48479,0.0,1.0,18.0,1.0,1.0,-2.0,-19.0,-1.0,-1.0,8.0,2.0,2.0,1.0,3.0,4.0,3.0,27.0,1.0,2.0,1.0,2.0,3.0,-1.0,25.0,1.0,1.0,0.0,0.0,-3.0,-2.0,-9.0,-28.0,-32.0,-37.0,-38.0,-29.0,-32.0,-22.0,-40.0,-41.0,-42.0,-40.0,-31.0,-35.0,-28.0,-44.0,-44.0,-46.0,-44.0,-39.0,-40.0,-32.0,-47.0,-47.0,-51.0,-59.0,-37.0
48135,2.0,1.0,-3.0,3.0,2.0,3.0,3.0,6.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,-1.0,3.0,-9.0,3.0,1.0,-14.0,-14.0,-13.0,-14.0,-14.0,0.0,-5.0,-13.0,-13.0,-14.0,-13.0,-17.0,-18.0,-19.0,-20.0,-24.0,-25.0,-24.0,-24.0,-20.0,-24.0,-27.0,-30.0,-31.0,-31.0,-32.0,-30.0,-30.0,-31.0,-33.0,-33.0,-34.0,-52.0,-33.0
48329,0.0,0.0,-7.0,2.0,0.0,3.0,3.0,3.0,-3.0,11.0,3.0,2.0,5.0,3.0,3.0,1.0,11.0,2.0,-3.0,4.0,1.0,2.0,-1.0,-5.0,-11.0,-13.0,-12.0,-14.0,-4.0,-8.0,-5.0,-14.0,-18.0,-17.0,-21.0,-21.0,-21.0,-19.0,-28.0,-30.0,-29.0,-30.0,-23.0,-25.0,-26.0,-31.0,-34.0,-33.0,-35.0,-32.0,-28.0,-29.0,-35.0,-37.0,-35.0,-49.0,-32.0
48183,1.0,0.0,-11.0,0.0,-1.0,-1.0,0.0,1.0,-3.0,1.0,2.0,2.0,1.0,-1.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-16.0,-15.0,-16.0,-17.0,-19.0,-4.0,-8.0,-15.0,-16.0,-18.0,-19.0,-24.0,-19.0,-25.0,-24.0,-26.0,-28.0,-28.0,-35.0,-30.0,-31.0,-34.0,-34.0,-34.0,-36.0,-36.0,-30.0,-34.0,-34.0,-36.0,-36.0,-37.0,-48.0,-32.0
48027,-3.0,-3.0,-32.0,0.0,0.0,0.0,1.0,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-2.0,-3.0,-19.0,-19.0,-18.0,-21.0,-24.0,-5.0,-9.0,-19.0,-22.0,-23.0,-28.0,-31.0,-19.0,-28.0,-30.0,-37.0,-40.0,-41.0,-42.0,-27.0,-33.0,-44.0,-45.0,-44.0,-46.0,-47.0,-34.0,-36.0,-45.0,-46.0,-46.0,-47.0,-54.0,-34.0
48039,3.0,3.0,-20.0,0.0,2.0,1.0,3.0,7.0,5.0,3.0,3.0,3.0,2.0,-1.0,7.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,-17.0,-18.0,-18.0,-19.0,-23.0,-2.0,-6.0,-21.0,-25.0,-28.0,-29.0,-32.0,-19.0,-25.0,-35.0,-38.0,-42.0,-43.0,-44.0,-26.0,-30.0,-45.0,-46.0,-45.0,-47.0,-46.0,-30.0,-33.0,-45.0,-47.0,-47.0,-48.0,-58.0,-32.0
