FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
36029,22.0,57.0,26.0,1.0,3.0,3.0,-7.0,17.0,92.0,15.0,1.0,0.0,-28.0,-16.0,-4.0,55.0,-6.0,5.0,6.0,41.0,-9.0,22.0,129.0,59.0,-3.0,17.0,42.0,1.0,-9.0,48.0,32.0,-2.0,27.0,41.0,-13.0,6.0,59.0,-34.0,8.0,58.0,50.0,43.0,-33.0,64.0,-40.0,-12.0,47.0,53.0,-10.0,56.0,58.0,40.0,44.0,8.0,-31.0,-36.0,20.0
01117,57.0,-15.0,65.0,-32.0,-6.0,-43.0,5.0,77.0,-14.0,-35.0,35.0,0.0,22.0,31.0,130.0,46.0,-35.0,23.0,-31.0,-17.0,37.0,109.0,70.0,74.0,30.0,14.0,102.0,31.0,109.0,15.0,68.0,81.0,102.0,94.0,63.0,53.0,0.0,-13.0,66.0,129.0,111.0,110.0,79.0,44.0,74.0,3.0,77.0,76.0,93.0,53.0,8.0,40.0,1.0,16.0,55.0,56.0,56.0
25027,2.0,0.0,43.0,-26.0,-7.0,-4.0,-8.0,54.0,50.0,61.0,8.0,-8.0,-10.0,-7.0,17.0,-10.0,29.0,49.0,-4.0,29.0,0.0,30.0,46.0,126.0,37.0,27.0,4.0,-22.0,61.0,35.0,14.0,-20.0,60.0,-38.0,16.0,89.0,26.0,-30.0,-21.0,-31.0,55.0,59.0,81.0,-60.0,-24.0,21.0,12.0,-20.0,-51.0,40.0,33.0,89.0,61.0,-5.0,-39.0,-17.0,46.0
01089,49.0,10.0,16.0,-15.0,3.0,-33.0,5.0,94.0,1.0,-33.0,37.0,-10.0,-1.0,6.0,79.0,69.0,-26.0,44.0,5.0,0.0,35.0,122.0,90.0,45.0,18.0,20.0,27.0,13.0,67.0,-30.0,-12.0,26.0,32.0,25.0,-22.0,24.0,22.0,-34.0,-21.0,31.0,43.0,42.0,58.0,35.0,-7.0,-36.0,21.0,19.0,34.0,39.0,8.0,1.0,-3.0,-3.0,1.0,13.0,55.0
01097,74.0,-17.0,40.0,21.0,19.0,-12.0,46.0,90.0,160.0,31.0,139.0,8.0,3.0,17.0,0.0,17.0,22.0,24.0,-23.0,5.0,30.0,64.0,34.0,41.0,15.0,41.0,41.0,43.0,23.0,32.0,20.0,11.0,16.0,1.0,3.0,-26.0,-10.0,1.0,-2.0,0.0,-5.0,-9.0,-33.0,-21.0,-6.0,-20.0,-3.0,-13.0,-13.0,-46.0,-30.0,-14.0,-26.0,-12.0,-19.0,-18.0,-33.0
25013,4.0,-3.0,32.0,-14.0,3.0,-3.0,1.0,67.0,95.0,91.0,17.0,9.0,5.0,3.0,13.0,8.0,55.0,57.0,20.0,45.0,12.0,34.0,90.0,174.0,33.0,36.0,19.0,-9.0,63.0,74.0,26.0,-14.0,71.0,-21.0,6.0,80.0,47.0,-41.0,-3.0,-12.0,74.0,67.0,30.0,-46.0,-14.0,25.0,37.0,4.0,-28.0,63.0,37.0,78.0,85.0,14.0,-32.0,-6.0,39.0
25009,5.0,1.0,61.0,-19.0,4.0,4.0,-11.0,64.0,94.0,80.0,21.0,4.0,1.0,-4.0,19.0,1.0,28.0,72.0,1.0,39.0,3.0,47.0,60.0,156.0,49.0,36.0,23.0,-12.0,106.0,69.0,27.0,-4.0,99.0,-24.0,65.0,141.0,51.0,-17.0,37.0,6.0,92.0,87.0,115.0,-53.0,-16.0,47.0,13.0,-23.0,-49.0,67.0,32.0,91.0,76.0,2.0,-35.0,-13.0,59.0
36119,0.0,0.0,43.0,-16.0,13.0,-3.0,-6.0,52.0,82.0,38.0,-5.0,-4.0,0.0,2.0,9.0,12.0,35.0,8.0,28.0,21.0,-2.0,35.0,88.0,96.0,25.0,33.0,7.0,25.0,89.0,78.0,16.0,3.0,53.0,3.0,40.0,75.0,26.0,-54.0,31.0,-22.0,46.0,52.0,-26.0,-47.0,-9.0,-2.0,30.0,10.0,-31.0,81.0,41.0,68.0,79.0,48.0,7.0,9.0,116.0
01125,29.0,-8.0,5.0,-10.0,-10.0,-19.0,6.0,20.0,-3.0,-22.0,16.0,5.0,14.0,36.0,67.0,21.0,-9.0,103.0,-13.0,13.0,28.0,55.0,44.0,20.0,20.0,7.0,48.0,5.0,32.0,-7.0,21.0,24.0,27.0,22.0,-9.0,-2.0,-13.0,-24.0,12.0,50.0,50.0,29.0,4.0,-1.0,-25.0,-42.0,-7.0,-3.0,-7.0,-22.0,-13.0,-18.0,-41.0,-31.0,-3.0,-14.0,-10.0
25005,-17.0,-3.0,24.0,-27.0,0.0,-15.0,-31.0,59.0,61.0,27.0,1.0,-9.0,-15.0,-26.0,4.0,-2.0,1.0,28.0,-1.0,14.0,-23.0,2.0,47.0,74.0,27.0,15.0,4.0,-31.0,52.0,53.0,1.0,-24.0,42.0,-37.0,-7.0,73.0,26.0,-29.0,12.0,-20.0,54.0,49.0,61.0,-44.0,-17.0,20.0,-4.0,-13.0,-47.0,27.0,43.0,67.0,72.0,-2.0,-22.0,-20.0,49.0
