,FIPS,Lat,Long_,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020
55,42101,40.00338507,-75.1379271,33,19,33,32,23,25,34,35,27,28,21,25,32,31,29,15,31,36,35,27,29,32,31,34,33,33,35,39,39,35,35,39,44,40,28,36,46,36,35,41,44,33,39,36,31,39,38,44,35,32,32,43,40,38,42,31,38,24,37,39,39,32,37,35,41,44,38,31,31,36,41,43,33,32,40,43,45,44,44,38,43,46,41,42,44,42,47,44,48,39,43,44
56,42095,40.75182733,-75.30471829,31,13,30,26,23,24,36,36,28,21,18,24,34,24,31,10,31,35,31,23,29,32,30,33,33,26,36,31,37,36,35,38,42,36,25,36,36,36,36,41,43,32,37,38,33,39,38,46,34,31,30,42,38,39,41,27,38,26,36,38,40,31,37,31,38,44,32,32,32,32,41,42,32,34,38,41,47,41,43,38,41,44,NAN,41,41,39,41,41,46,39,40,41
57,39049,39.96995815,-83.01115755,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,39,35,35,35,38,32,37,40,44,30,21,35,37,34,33,29,27,21,28,31,36,39,36,35,43,42,35,30,43,35,31,32,40,45,51,24,44,42,40,41,36,43,39,32,40,43,43,37,44,39,44,42,42
58,39095,41.62101218,-83.65468618,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,33,28,33,36,36,31,35,38,39,28,22,28,36,30,36,33,27,22,25,31,33,38,35,37,35,35,34,28,35,33,24,25,40,44,42,31,41,39,41,40,35,43,38,36,37,35,39,36,44,40,44,39,33
59,08059,39.58635604,-105.2517692,47,44,43,40,42,43,42,41,41,40,50,50,33,36,42,38,43,47,33,38,44,42,44,48,44,43,44,46,34,46,47,43,44,46,38,45,47,44,41,34,45,43,45,41,49,50,48,45,45,47,36,31,27,38,40,29,49,31,35,50,51,50,51,58,35,45,50,47,45,48,51,31,41,44,48,54,64,51,50,54,54,43,44,49,46,50,71,67,58,64,64,54
60,08005,39.64977461,-104.3353617,47,44,43,40,42,43,42,41,41,40,50,50,33,36,42,38,43,47,33,38,44,42,44,48,44,43,44,46,34,46,47,43,44,46,38,45,47,44,41,34,45,43,45,41,49,50,48,45,45,47,36,31,27,38,40,29,49,31,35,50,51,50,51,58,35,45,50,47,45,48,51,31,41,44,48,54,64,51,50,54,54,43,44,49,46,50,71,67,58,64,64,54
61,08031,39.76018276,-104.87256950000001,47,44,43,40,42,43,42,41,41,40,50,50,33,36,42,38,43,47,33,38,44,42,44,48,44,43,44,46,34,46,47,43,44,46,38,45,47,44,41,34,45,43,45,41,49,50,48,45,45,47,36,31,27,38,40,29,49,31,35,50,51,50,51,58,35,45,50,47,45,48,51,31,41,44,48,54,64,51,50,54,54,43,44,49,46,50,71,67,58,64,64,54
62,08123,40.55499405,-104.39296209999999,21,36,27,33,37,34,39,33,36,32,NAN,NAN,NAN,34,30,37,35,44,31,34,33,39,31,26,39,31,46,40,26,27,34,39,42,44,38,33,44,41,19,36,35,38,41,41,40,49,45,43,41,42,35,30,22,27,23,19,35,31,39,47,50,49,50,48,34,40,47,46,43,46,47,32,40,NAN,NAN,NAN,54,44,NAN,51,50,38,41,48,43,45,64,42,49,51,61,49
63,37119,35.24469268,-80.8317671,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
64,36067,43.00491923,-76.19971155,36,33,35,27,22,29,36,35,34,23,31,27,35,31,31,21,33,32,34,29,34,36,31,35,36,33,38,34,37,37,40,42,45,45,35,28,37,37,35,40,45,34,35,37,36,40,42,47,38,33,31,39,32,40,40,31,37,30,33,35,39,33,35,38,41,37,34,36,33,32,43,41,30,32,34,40,46,39,41,34,41,46,39,42,41,37,41,45,45,42,39,42
65,37183,35.78879266,-78.65249174,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
66,42077,40.6154815,-75.59435245,31,13,30,26,23,24,36,36,28,21,18,24,34,24,31,10,31,35,31,23,29,32,30,33,33,26,36,31,37,36,35,38,42,36,25,36,36,36,36,41,43,32,37,38,33,39,38,46,34,31,30,42,38,39,41,27,38,26,36,38,40,31,37,31,38,44,32,32,32,32,41,42,32,34,38,41,47,41,43,38,41,44,NAN,41,41,39,41,41,46,39,40,41
67,09001,41.26809896,-73.3881171,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23,33,33,18,34,34,31,25,31,36,27,33,33,26,37,34,39,38,39,41,44,NAN,26,39,38,37,35,38,40,37,38,36,36,40,NAN,44,38,37,36,41,37,43,40,30,41,33,35,39,42,33,38,32,44,44,36,42,33,38,43,38,35,40,36,39,47,NAN,41,34,41,47,44,41,43,40,44,38,48,39,38,39
68,09003,41.80283011,-72.73103891,20,11,19,33,19,19,31,38,30,23,18,31,18,22,29,17,30,32,23,24,NAN,38,31,36,33,28,41,NAN,37,36,36,39,41,42,19,39,38,36,35,38,44,40,36,35,39,40,NAN,43,35,37,36,34,36,43,38,27,42,30,30,39,41,34,39,35,42,43,29,41,36,41,42,38,36,39,37,42,46,41,40,33,39,46,44,42,40,39,44,36,49,39,39,39
69,10003,39.57992638,-75.64054974,35,19,33,30,25,28,38,38,25,28,22,25,34,31,29,16,32,39,38,27,31,35,33,35,32,34,36,42,39,36,36,42,44,38,23,32,39,35,38,44,46,36,42,40,32,40,40,44,38,33,32,43,41,39,42,33,37,24,38,40,38,31,37,35,41,43,37,28,30,35,42,44,35,31,41,44,43,45,44,38,44,44,40,43,44,42,43,42,47,40,43,44
70,11001,38.90417773,-77.01655992,31,22,35,29,27,33,31,36,28,30,30,35,32,31,28,18,32,37,36,29,31,31,31,33,34,31,36,38,35,34,39,44,44,45,26,30,38,37,39,41,48,38,41,39,35,40,44,48,40,33,39,43,42,37,44,37,39,36,38,36,41,33,36,35,38,44,40,27,45,37,36,44,45,33,43,48,42,47,47,41,45,46,42,44,44,45,47,44,46,42,44,45
71,12099,26.64676272,-80.46536002,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
72,12103,27.93130349,-82.72239666,40,34,NAN,38,37,33,38,41,32,23,31,34,44,41,31,33,40,39,39,35,28,26,27,28,41,36,37,32,26,35,33,43,45,44,38,32,39,44,44,54,45,41,33,33,44,42,44,43,46,43,48,49,41,35,45,41,NAN,NAN,41,35,37,35,31,31,31,58,46,38,35,35,44,NAN,NAN,67,42,48,46,31,22,42,58,35,29,28,29,38,44,35,27,41,41,77
73,12011,26.15184651,-80.48725556,37,34,35,40,43,31,44,36,44,42,27,35,46,43,36,31,37,44,42,31,26,25,32,34,33,31,30,24,25,25,32,41,44,41,37,31,44,49,58,46,43,38,32,31,41,44,46,43,41,39,43,41,34,34,35,39,42,36,37,37,35,37,37,33,43,46,44,29,38,27,51,90,93,77,58,42,41,38,29,43,45,30,32,31,33,39,34,29,31,31,54,93
74,12086,25.6112362,-80.55170587,38,36,NAN,36,48,39,44,36,44,45,26,34,49,42,36,30,31,41,41,31,24,27,31,28,32,30,26,26,24,21,31,42,44,40,38,31,42,45,49,47,44,39,31,32,36,44,45,44,42,38,42,36,32,31,32,38,NAN,NAN,37,34,33,32,31,33,47,44,43,23,22,25,49,NAN,NAN,51,45,39,36,29,27,33,40,25,23,19,NAN,34,NAN,NAN,23,29,47,84
75,12031,30.33225875,-81.66976468,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
76,39035,41.424119,-81.65918339,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
77,39061,39.19673558,-84.54502924,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
78,12095,28.51367621,-81.31799498,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
79,48029,29.44928723,-98.52019748,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
80,13121,33.79216944,-84.46319413,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
81,16001,43.4526575,-116.24155159999998,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
82,47037,36.17007426,-86.78646056,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
83,48113,32.76670599,-96.77796049999999,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
84,48439,32.77143818,-97.29101614,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
85,48121,33.20521901,-97.11691153,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,37,38,34,35,34,38,38,31,36,33,36,31,27,32,31,30,36,39,30,33,30,33,44,40,39,41,37,43,39,51,35,43,40
86,48157,29.52704478,-95.77219463,23,20,31,31,30,37,21,17,11,19,36,43,35,30,18,27,36,36,34,17,25,21,31,32,27,31,25,27,27,31,35,37,31,40,35,33,40,39,67,44,31,20,35,40,39,38,45,29,36,31,34,23,26,19,14,24,22,29,27,20,14,14,37,36,35,36,32,35,35,38,49,42,39,6,35,36,25,31,33,42,41,42,31,35,41,46,39,28,15,26,51,38
