FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
48135,4.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,6.0,10.0,16.0,10.0,11.0,3.0,5.0,0.0,0.0,9.0,5.0,6.0,5.0,10.0,6.0,9.0,9.0,4.0,0.0,-6.0,5.0,2.0,1.0,5.0,7.0,-3.0,0.0,-1.0,1.0,1.0,3.0,-1.0,-6.0,-8.0,-8.0,-10.0,-8.0,-6.0,-14.0,-22.0,-17.0,-14.0,-15.0,-13.0,-14.0,-25.0,-23.0
48329,5.0,6.0,2.0,3.0,5.0,7.0,4.0,4.0,8.0,2.0,5.0,10.0,7.0,7.0,9.0,8.0,5.0,4.0,1.0,7.0,6.0,12.0,5.0,6.0,6.0,9.0,5.0,1.0,3.0,-1.0,-3.0,-8.0,-10.0,-13.0,-14.0,-13.0,-13.0,-17.0,-16.0,-19.0,-21.0,-21.0,-17.0,-24.0,-23.0,-21.0,-24.0,-29.0,-30.0,-33.0,-31.0,-32.0,-29.0,-28.0,-30.0,-36.0,-36.0
48183,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
48027,10.0,11.0,12.0,8.0,8.0,10.0,18.0,3.0,17.0,13.0,13.0,17.0,14.0,23.0,14.0,16.0,9.0,10.0,6.0,14.0,27.0,25.0,23.0,16.0,9.0,19.0,18.0,28.0,19.0,12.0,8.0,-1.0,-3.0,2.0,-10.0,-15.0,-21.0,-15.0,-12.0,-14.0,-19.0,-19.0,-27.0,-34.0,-29.0,-20.0,-17.0,-26.0,-28.0,-40.0,-38.0,-30.0,-24.0,-27.0,-33.0,-35.0,-43.0
48039,3.0,10.0,2.0,4.0,-6.0,-5.0,7.0,-2.0,12.0,-5.0,-1.0,1.0,-2.0,3.0,27.0,12.0,0.0,-2.0,6.0,7.0,3.0,13.0,8.0,10.0,0.0,-6.0,0.0,0.0,20.0,2.0,5.0,2.0,4.0,0.0,-7.0,-20.0,-16.0,-7.0,-8.0,-7.0,-18.0,-19.0,-22.0,-24.0,-13.0,-19.0,-12.0,-24.0,-24.0,-37.0,-26.0,-24.0,-17.0,-10.0,-16.0,-22.0,-28.0
48167,17.0,22.0,9.0,13.0,0.0,-12.0,7.0,0.0,2.0,-12.0,16.0,0.0,11.0,29.0,42.0,15.0,3.0,2.0,-3.0,20.0,23.0,29.0,44.0,37.0,55.0,80.0,63.0,59.0,54.0,57.0,30.0,26.0,12.0,2.0,-26.0,-48.0,-54.0,-31.0,-29.0,-43.0,-42.0,-40.0,-61.0,-57.0,-41.0,-31.0,-24.0,-35.0,-29.0,-64.0,-59.0,-41.0,-32.0,-22.0,-24.0,-32.0,-54.0
48453,-3.0,-2.0,-8.0,4.0,0.0,-4.0,-2.0,-2.0,0.0,0.0,1.0,3.0,3.0,0.0,-2.0,-2.0,-4.0,-1.0,-3.0,0.0,-4.0,-3.0,-11.0,-12.0,-5.0,-7.0,-17.0,-23.0,-17.0,-29.0,-36.0,-37.0,-43.0,-53.0,-59.0,-56.0,-62.0,-62.0,-60.0,-65.0,-68.0,-68.0,-68.0,-72.0,-73.0,-65.0,-65.0,-72.0,-74.0,-75.0,-74.0,-71.0,-68.0,-70.0,-72.0,-71.0,-69.0
48257,-1.0,2.0,-4.0,-6.0,3.0,0.0,5.0,-4.0,6.0,4.0,1.0,-1.0,1.0,19.0,11.0,12.0,-6.0,-2.0,-7.0,2.0,7.0,26.0,15.0,-2.0,-3.0,7.0,3.0,-7.0,-12.0,9.0,-6.0,-10.0,-2.0,-9.0,-17.0,-16.0,-9.0,-21.0,-11.0,-9.0,-10.0,-27.0,-20.0,-18.0,-22.0,-18.0,-16.0,-8.0,-27.0,-29.0,-29.0,-32.0,-22.0,-15.0,-18.0,-23.0,-34.0
48309,3.0,16.0,7.0,-2.0,-7.0,-1.0,0.0,11.0,9.0,4.0,3.0,7.0,5.0,4.0,7.0,13.0,1.0,3.0,-1.0,9.0,16.0,10.0,13.0,0.0,6.0,6.0,5.0,1.0,1.0,6.0,1.0,-2.0,-6.0,-9.0,-15.0,-21.0,-19.0,-15.0,-19.0,-23.0,-22.0,-30.0,-34.0,-34.0,-27.0,-25.0,-23.0,-25.0,-35.0,-40.0,-36.0,-28.0,-25.0,-26.0,-27.0,-34.0,-42.0
48485,-9.0,5.0,-6.0,1.0,4.0,13.0,-3.0,-7.0,-3.0,1.0,2.0,12.0,10.0,14.0,3.0,11.0,11.0,3.0,7.0,16.0,16.0,20.0,20.0,9.0,7.0,15.0,18.0,4.0,10.0,15.0,7.0,-3.0,12.0,2.0,-14.0,-18.0,-7.0,-13.0,-13.0,-5.0,1.0,-14.0,-30.0,-24.0,-26.0,-17.0,-10.0,-16.0,-22.0,-26.0,-20.0,-21.0,-15.0,-9.0,-10.0,-31.0,-33.0
